date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:28:18	3352/3352	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Jul%202016%2007:58:17%20GMT	http://wrapbootstrap.com/preview/WB0977873	C:/Users/Preeti%20singh/Desktop/vaishali/vaishali/wrapbootstrap.com/preview/WB0977873.html	(from )
13:28:18	244/244	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2021%20Jul%202016%2007:58:21%20GMT	http://wrapbootstrap.com/robots.txt		(from )
13:28:22	48934/48934	---M-Z	200	added ('OK')	text/css	etag:%22e9e67b695e658f2c9c77470459e76547%22	http://d85wutc1n854v.cloudfront.net/live/css/screen_preview.css	C:/Users/Preeti%20singh/Desktop/vaishali/vaishali/d85wutc1n854v.cloudfront.net/live/css/screen_preview.css	(from http://wrapbootstrap.com/preview/WB0977873)
13:28:22	3987/3987	---M--	200	added ('OK')	image/png	etag:%22695c171ec42d3324aa832bf170031ffe%22	http://d85wutc1n854v.cloudfront.net/live/imgs/logo.png	C:/Users/Preeti%20singh/Desktop/vaishali/vaishali/d85wutc1n854v.cloudfront.net/live/imgs/logo.png	(from http://wrapbootstrap.com/preview/WB0977873)
13:28:22	3698/3698	---M--	200	added ('OK')	image/png	etag:%2214cbc3e7b9f6389c69b2e1bcd3800feb%22	http://d85wutc1n854v.cloudfront.net/live/imgs/content_inner_bg.png	C:/Users/Preeti%20singh/Desktop/vaishali/vaishali/d85wutc1n854v.cloudfront.net/live/imgs/content_inner_bg.png	(from http://d85wutc1n854v.cloudfront.net/live/css/screen_preview.css)
13:28:24	1409/1409	---M--	200	added ('OK')	image/png	etag:%228051439ca15ec252e9b3c74a4078b608%22	http://d85wutc1n854v.cloudfront.net/live/imgs/foot-header-bg.png	C:/Users/Preeti%20singh/Desktop/vaishali/vaishali/d85wutc1n854v.cloudfront.net/live/imgs/foot-header-bg.png	(from http://d85wutc1n854v.cloudfront.net/live/css/screen_preview.css)
13:28:25	3482/3482	---M--	200	added ('OK')	image/png	etag:%229e01887223102367fc2eb751684f7f3a%22	http://d85wutc1n854v.cloudfront.net/live/imgs/darkgrain.png	C:/Users/Preeti%20singh/Desktop/vaishali/vaishali/d85wutc1n854v.cloudfront.net/live/imgs/darkgrain.png	(from http://d85wutc1n854v.cloudfront.net/live/css/screen_preview.css)
13:28:41	10163/10163	---M--	200	added ('OK')	image/jpeg	etag:%22830de17902a68f1ab26fe397366a845f%22	http://d85wutc1n854v.cloudfront.net/live/imgs/dark_bg.jpg	C:/Users/Preeti%20singh/Desktop/vaishali/vaishali/d85wutc1n854v.cloudfront.net/live/imgs/dark_bg.jpg	(from http://d85wutc1n854v.cloudfront.net/live/css/screen_preview.css)
13:31:02	193126/193126	---M-Z	200	added ('OK')	application/x-javascript	etag:%2229726139fe792277bc8b0f975eca1186%22	http://d85wutc1n854v.cloudfront.net/live/js/behavior.js	C:/Users/Preeti%20singh/Desktop/vaishali/vaishali/d85wutc1n854v.cloudfront.net/live/js/behavior.js	(from http://wrapbootstrap.com/preview/WB0977873)
13:31:02	11839/11839	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Jul%202016%2008:01:05%20GMT	http://wrapbootstrap.com/preview/POST	C:/Users/Preeti%20singh/Desktop/vaishali/vaishali/wrapbootstrap.com/preview/POST.8.delayed	(from http://d85wutc1n854v.cloudfront.net/live/js/behavior.js)
